epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1154.08,1.24579,1.5593,1.07412,0.62765,0.42853,0.45999,0.30296,1.45046,1.32428,1.01828,0.000195905,0.000195905,0.000195905
2,5109.55,1.24103,1.1071,1.07625,0.64014,0.42357,0.46782,0.30935,1.4669,1.23958,1.02871,0.000378972,0.000378972,0.000378972
3,8939.79,1.23319,1.06417,1.07237,0.6484,0.43506,0.47809,0.31293,1.46351,1.16629,1.02723,0.000549104,0.000549104,0.000549104
4,9996.43,1.21087,1.00445,1.06816,0.62523,0.43397,0.47888,0.31899,1.42567,1.1765,1.00931,0.000529788,0.000529788,0.000529788
5,11049.3,1.18687,0.95583,1.05118,0.68961,0.43915,0.49392,0.32854,1.43053,1.09137,1.01393,0.000510384,0.000510384,0.000510384
6,12064.5,1.16503,0.91813,1.04019,0.64344,0.45563,0.49354,0.32921,1.41291,1.07973,1.00763,0.00049098,0.00049098,0.00049098
7,13038.8,1.14309,0.88317,1.03041,0.71249,0.43859,0.49837,0.33581,1.41,1.07784,1.00228,0.000471576,0.000471576,0.000471576
8,13994.6,1.13068,0.86254,1.02325,0.63703,0.45677,0.50106,0.33597,1.40256,1.05932,1.00033,0.000452172,0.000452172,0.000452172
9,14930.2,1.11371,0.83381,1.01865,0.65517,0.47189,0.51941,0.34659,1.40293,1.0379,0.99808,0.000432768,0.000432768,0.000432768
10,15901.3,1.10768,0.81288,1.01035,0.68414,0.47522,0.52499,0.34978,1.38721,1.02336,0.9937,0.000413364,0.000413364,0.000413364
11,16929.9,1.0993,0.80213,1.00709,0.68869,0.476,0.52383,0.35396,1.37098,0.99585,0.98281,0.00039396,0.00039396,0.00039396
12,17902.9,1.07549,0.77224,0.9961,0.67633,0.48164,0.52628,0.35471,1.37892,1.00565,0.99029,0.000374556,0.000374556,0.000374556
13,18918.5,1.07617,0.75655,0.99745,0.68092,0.48165,0.52698,0.3547,1.35808,0.98302,0.9847,0.000355152,0.000355152,0.000355152
14,19858.5,1.06139,0.74341,0.99121,0.68202,0.48551,0.5285,0.35457,1.37413,0.99064,0.99218,0.000335748,0.000335748,0.000335748
15,20723,1.04345,0.72987,0.98568,0.6843,0.49431,0.54354,0.36445,1.35888,0.96546,0.98383,0.000316344,0.000316344,0.000316344
16,21572.8,1.0313,0.70896,0.98021,0.71063,0.48695,0.54277,0.36638,1.34949,0.97971,0.97887,0.00029694,0.00029694,0.00029694
17,22434.9,1.03887,0.70723,0.97845,0.69922,0.50105,0.54547,0.36523,1.3552,0.94617,0.97949,0.000277536,0.000277536,0.000277536
18,23297.6,1.02532,0.68981,0.97586,0.70353,0.49542,0.54427,0.36814,1.35743,0.93812,0.9767,0.000258132,0.000258132,0.000258132
19,24153.7,1.01074,0.67421,0.96982,0.71058,0.49289,0.54617,0.36912,1.34849,0.92938,0.9734,0.000238728,0.000238728,0.000238728
20,24987.8,1.00262,0.66437,0.96335,0.75414,0.48336,0.54403,0.36686,1.34692,0.9307,0.97478,0.000219324,0.000219324,0.000219324
21,25766.9,1.06931,0.66298,0.9562,0.68149,0.50259,0.54675,0.36667,1.3558,0.94674,0.97562,0.00019992,0.00019992,0.00019992
22,26530.9,1.06214,0.65368,0.95111,0.70268,0.48893,0.54292,0.36367,1.36437,0.95869,0.97715,0.000180516,0.000180516,0.000180516
23,27300.9,1.0495,0.64806,0.94874,0.72319,0.49639,0.5527,0.36986,1.35753,0.93834,0.97046,0.000161112,0.000161112,0.000161112
24,28066.8,1.04004,0.62585,0.94438,0.75015,0.48456,0.55026,0.3692,1.34814,0.94589,0.96924,0.000141708,0.000141708,0.000141708
25,28840.2,1.03307,0.61698,0.93814,0.72181,0.5144,0.5648,0.3758,1.34514,0.91863,0.96784,0.000122304,0.000122304,0.000122304
26,29565,1.02698,0.60946,0.93793,0.75737,0.48452,0.54883,0.36992,1.34555,0.93519,0.97108,0.0001029,0.0001029,0.0001029
27,30295.3,1.01314,0.59687,0.93344,0.72594,0.50437,0.55602,0.37376,1.33894,0.92285,0.96951,8.3496e-05,8.3496e-05,8.3496e-05
28,31049.9,1.00664,0.58486,0.93263,0.72774,0.50124,0.55878,0.37574,1.33622,0.93493,0.96443,6.4092e-05,6.4092e-05,6.4092e-05
29,31792.1,1.00028,0.57943,0.92805,0.71973,0.50936,0.56091,0.37719,1.33914,0.91794,0.96876,4.4688e-05,4.4688e-05,4.4688e-05
30,32519.1,0.99602,0.57329,0.92696,0.70659,0.5083,0.55673,0.37489,1.33765,0.92221,0.96633,2.5284e-05,2.5284e-05,2.5284e-05
